5.487315,-0.714473,0.714333,-0.000139
5.529203,-0.684547,0.684439,-0.000108
5.571091,-0.653421,0.653526,0.000105
5.612979,-0.621148,0.620846,-0.000302
5.654867,-0.587785,0.587623,-0.000162
5.696754,-0.553392,0.553584,0.000193
5.738643,-0.518027,0.517644,-0.000383
5.780530,-0.481754,0.481703,-0.000051
5.822418,-0.444635,0.444811,0.000175
5.864306,-0.406736,0.406424,-0.000313
5.906194,-0.368125,0.368105,-0.000019
5.948082,-0.328867,0.328801,-0.000066
5.989970,-0.289032,0.289259,0.000227
6.031858,-0.248690,0.248393,-0.000297
6.073746,-0.207912,0.207883,-0.000029
6.115633,-0.166769,0.167016,0.000247
6.157522,-0.125333,0.125063,-0.000270
6.199409,-0.083678,0.083661,-0.000017
